1.878	3.515	0	5e-8	0.97
2.159	2.31	0	1e-9	0.845
2.015	2.155	8.457e-5	1e-9	0.936
2.51	2.56	1.42e-5	1e-8	0.88
1.699	2.332	1.754e-3	7.067e-11	0.355
2.457	5.565	0	1.791e-9	0.699
2.004	3.195	1.993e-3	1.264e-10	0.449
2.515	3.905	2.358e-4	2.254e-10	0.568
3.137	4.187	2.44e-3	9.355e-11	0.399
3.045	4.225	2.907e-3	6.443e-11	0.403
2.255	6.54	4.707e-6	6.84e-8	0.78
2.699	3.362	5.719e-7	1.306e-9	0.595
1	6.436	1e-3	1.066e-13	0.173
2.525	10.45	2.27e-3	4.476e-10	0.855
2.674	2.742	2.65e-5	2.703e-11	0.328
2.082	3.132	4.621e-5	2.891e-10	0.683
1	2.97	2.894e-4	1.655e-13	0
1.013	3.122	3.922e-4	1.644e-13	0
1	3.38	1.3e-3	2.235e-13	0.145
1	4.04	1.7e-3	1.052e-13	0.306
1	1	0	0	0
